dataset_name,split,column,feature,observed_type,missing_count,missing_rate,file
propbank_srl_seq2seq,train,prompt,Value('string'),str,0,0.0,.hf_cache\datasets\cu-kairos___propbank_srl_seq2seq\default\0.0.0\3ac8d9eb632afdfba5c70c95c0333d70c8bdca8f\propbank_srl_seq2seq-train.arrow
propbank_srl_seq2seq,train,response,Value('string'),str,0,0.0,.hf_cache\datasets\cu-kairos___propbank_srl_seq2seq\default\0.0.0\3ac8d9eb632afdfba5c70c95c0333d70c8bdca8f\propbank_srl_seq2seq-train.arrow
propbank_srl_seq2seq,validation,prompt,Value('string'),str,0,0.0,.hf_cache\datasets\cu-kairos___propbank_srl_seq2seq\default\0.0.0\3ac8d9eb632afdfba5c70c95c0333d70c8bdca8f\propbank_srl_seq2seq-validation.arrow
propbank_srl_seq2seq,validation,response,Value('string'),str,0,0.0,.hf_cache\datasets\cu-kairos___propbank_srl_seq2seq\default\0.0.0\3ac8d9eb632afdfba5c70c95c0333d70c8bdca8f\propbank_srl_seq2seq-validation.arrow
task1519_qa_srl_question_generation,test,input,Value('string'),str,0,0.0,.hf_cache\datasets\Lots-of-LoRAs___task1519_qa_srl_question_generation\default\0.0.0\f67ab4599f48d1b82c492e49c814d7e558b081b1\task1519_qa_srl_question_generation-test.arrow
task1519_qa_srl_question_generation,test,output,List(Value('string')),list,0,0.0,.hf_cache\datasets\Lots-of-LoRAs___task1519_qa_srl_question_generation\default\0.0.0\f67ab4599f48d1b82c492e49c814d7e558b081b1\task1519_qa_srl_question_generation-test.arrow
task1519_qa_srl_question_generation,test,id,Value('string'),str,0,0.0,.hf_cache\datasets\Lots-of-LoRAs___task1519_qa_srl_question_generation\default\0.0.0\f67ab4599f48d1b82c492e49c814d7e558b081b1\task1519_qa_srl_question_generation-test.arrow
task1519_qa_srl_question_generation,train,input,Value('string'),str,0,0.0,.hf_cache\datasets\Lots-of-LoRAs___task1519_qa_srl_question_generation\default\0.0.0\f67ab4599f48d1b82c492e49c814d7e558b081b1\task1519_qa_srl_question_generation-train.arrow
task1519_qa_srl_question_generation,train,output,List(Value('string')),list,0,0.0,.hf_cache\datasets\Lots-of-LoRAs___task1519_qa_srl_question_generation\default\0.0.0\f67ab4599f48d1b82c492e49c814d7e558b081b1\task1519_qa_srl_question_generation-train.arrow
task1519_qa_srl_question_generation,train,id,Value('string'),str,0,0.0,.hf_cache\datasets\Lots-of-LoRAs___task1519_qa_srl_question_generation\default\0.0.0\f67ab4599f48d1b82c492e49c814d7e558b081b1\task1519_qa_srl_question_generation-train.arrow
task1519_qa_srl_question_generation,valid,input,Value('string'),str,0,0.0,.hf_cache\datasets\Lots-of-LoRAs___task1519_qa_srl_question_generation\default\0.0.0\f67ab4599f48d1b82c492e49c814d7e558b081b1\task1519_qa_srl_question_generation-valid.arrow
task1519_qa_srl_question_generation,valid,output,List(Value('string')),list,0,0.0,.hf_cache\datasets\Lots-of-LoRAs___task1519_qa_srl_question_generation\default\0.0.0\f67ab4599f48d1b82c492e49c814d7e558b081b1\task1519_qa_srl_question_generation-valid.arrow
task1519_qa_srl_question_generation,valid,id,Value('string'),str,0,0.0,.hf_cache\datasets\Lots-of-LoRAs___task1519_qa_srl_question_generation\default\0.0.0\f67ab4599f48d1b82c492e49c814d7e558b081b1\task1519_qa_srl_question_generation-valid.arrow
task1520_qa_srl_answer_generation,test,input,Value('string'),str,0,0.0,.hf_cache\datasets\Lots-of-LoRAs___task1520_qa_srl_answer_generation\default\0.0.0\8d76d2ee87589a38a55046ddda7ec51e6b089e05\task1520_qa_srl_answer_generation-test.arrow
task1520_qa_srl_answer_generation,test,output,List(Value('string')),list,0,0.0,.hf_cache\datasets\Lots-of-LoRAs___task1520_qa_srl_answer_generation\default\0.0.0\8d76d2ee87589a38a55046ddda7ec51e6b089e05\task1520_qa_srl_answer_generation-test.arrow
task1520_qa_srl_answer_generation,test,id,Value('string'),str,0,0.0,.hf_cache\datasets\Lots-of-LoRAs___task1520_qa_srl_answer_generation\default\0.0.0\8d76d2ee87589a38a55046ddda7ec51e6b089e05\task1520_qa_srl_answer_generation-test.arrow
task1520_qa_srl_answer_generation,train,input,Value('string'),str,0,0.0,.hf_cache\datasets\Lots-of-LoRAs___task1520_qa_srl_answer_generation\default\0.0.0\8d76d2ee87589a38a55046ddda7ec51e6b089e05\task1520_qa_srl_answer_generation-train.arrow
task1520_qa_srl_answer_generation,train,output,List(Value('string')),list,0,0.0,.hf_cache\datasets\Lots-of-LoRAs___task1520_qa_srl_answer_generation\default\0.0.0\8d76d2ee87589a38a55046ddda7ec51e6b089e05\task1520_qa_srl_answer_generation-train.arrow
task1520_qa_srl_answer_generation,train,id,Value('string'),str,0,0.0,.hf_cache\datasets\Lots-of-LoRAs___task1520_qa_srl_answer_generation\default\0.0.0\8d76d2ee87589a38a55046ddda7ec51e6b089e05\task1520_qa_srl_answer_generation-train.arrow
task1520_qa_srl_answer_generation,valid,input,Value('string'),str,0,0.0,.hf_cache\datasets\Lots-of-LoRAs___task1520_qa_srl_answer_generation\default\0.0.0\8d76d2ee87589a38a55046ddda7ec51e6b089e05\task1520_qa_srl_answer_generation-valid.arrow
task1520_qa_srl_answer_generation,valid,output,List(Value('string')),list,0,0.0,.hf_cache\datasets\Lots-of-LoRAs___task1520_qa_srl_answer_generation\default\0.0.0\8d76d2ee87589a38a55046ddda7ec51e6b089e05\task1520_qa_srl_answer_generation-valid.arrow
task1520_qa_srl_answer_generation,valid,id,Value('string'),str,0,0.0,.hf_cache\datasets\Lots-of-LoRAs___task1520_qa_srl_answer_generation\default\0.0.0\8d76d2ee87589a38a55046ddda7ec51e6b089e05\task1520_qa_srl_answer_generation-valid.arrow
qa_srl_promptsource,test,sentence,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-test.arrow
qa_srl_promptsource,test,sent_id,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-test.arrow
qa_srl_promptsource,test,predicate_idx,Value('int32'),int,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-test.arrow
qa_srl_promptsource,test,predicate,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-test.arrow
qa_srl_promptsource,test,question,List(Value('string')),list,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-test.arrow
qa_srl_promptsource,test,answers,List(Value('string')),list,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-test.arrow
qa_srl_promptsource,test,template_name,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-test.arrow
qa_srl_promptsource,test,template,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-test.arrow
qa_srl_promptsource,test,rendered_input,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-test.arrow
qa_srl_promptsource,test,rendered_output,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-test.arrow
qa_srl_promptsource,train,sentence,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-train.arrow
qa_srl_promptsource,train,sent_id,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-train.arrow
qa_srl_promptsource,train,predicate_idx,Value('int32'),int,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-train.arrow
qa_srl_promptsource,train,predicate,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-train.arrow
qa_srl_promptsource,train,question,List(Value('string')),list,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-train.arrow
qa_srl_promptsource,train,answers,List(Value('string')),list,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-train.arrow
qa_srl_promptsource,train,template_name,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-train.arrow
qa_srl_promptsource,train,template,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-train.arrow
qa_srl_promptsource,train,rendered_input,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-train.arrow
qa_srl_promptsource,train,rendered_output,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-train.arrow
qa_srl_promptsource,validation,sentence,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-validation.arrow
qa_srl_promptsource,validation,sent_id,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-validation.arrow
qa_srl_promptsource,validation,predicate_idx,Value('int32'),int,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-validation.arrow
qa_srl_promptsource,validation,predicate,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-validation.arrow
qa_srl_promptsource,validation,question,List(Value('string')),list,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-validation.arrow
qa_srl_promptsource,validation,answers,List(Value('string')),list,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-validation.arrow
qa_srl_promptsource,validation,template_name,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-validation.arrow
qa_srl_promptsource,validation,template,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-validation.arrow
qa_srl_promptsource,validation,rendered_input,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-validation.arrow
qa_srl_promptsource,validation,rendered_output,Value('string'),str,0,0.0,.hf_cache\datasets\marcov___qa_srl_promptsource\default\0.0.0\46fcd4605989a6144719de0cb7be35bff6efe343\qa_srl_promptsource-validation.arrow
challenge_suite_v2,seed,context,json,str,0,0.0,data\challenge_suite_v2.json
challenge_suite_v2,seed,diagnostic,json,str,0,0.0,data\challenge_suite_v2.json
challenge_suite_v2,seed,expected_answer,json,str,0,0.0,data\challenge_suite_v2.json
challenge_suite_v2,seed,id,json,str,0,0.0,data\challenge_suite_v2.json
challenge_suite_v2,seed,question,json,str,0,0.0,data\challenge_suite_v2.json
challenge_suite_v2,seed,question_type,json,str,0,0.0,data\challenge_suite_v2.json
challenge_suite_v2,seed,target_role,json,str,0,0.0,data\challenge_suite_v2.json
